contacts,days
94,11
103,20
65,9
120,11
120,21
181,24
315.25000000000006,9
264,25
39,12
172,12
89,17
89,13
83,11
131,13
140,16
286.99999999999983,16
73,9
223,16
148,12
196.19999999999996,12
120,10
180,11
219,22
67,7
137,19
256,12
86,13
142,12
105,27
105,16
154.6000000000001,13
86,9
246,17
79.3,11
106,23
63,11
145,15
118,18
364,17
184,13
166.00000000000003,12
120,24
157,17
134,17
186,18
230,21
140.79999999999998,11
197,18
598.5000000000005,19
66,8
216,16
183,26
104,11
101,16
82,16
80,16
52,23
103,11
172,18
113,19
278.3999999999998,11
106,17
38,9
72,10
169,15
199,19
82,12
198,21
123,14
76,10
100,12
106,15
120,11
158,19
413,17
230,23
179,20
94,14
185,18
281,18
31,8
112,14
87,13
110,12
166.74999999999997,15
154,19
35,10
55,12
235.19999999999993,10
44,12
104,13
128.14999999999998,13
124,20
99,14
122,13
88,9
286,16
109.5,10
140,17
92,10
326,16
130,15
96,11
111,13
156,24
71,10
134,14
193.6,11
168,20
163,20
243.2499999999999,16
59,12
56,11
163,15
66,10
132,21
135,15
125,23
154,17
92,6
148,14
229.99999999999994,11
93,11
170,17
30,14
146,17
81,11
52,8
118,26
57,20
121,15
130,19
120,18
78,14
64,6
131,13
108.4,13
226,17
155.79999999999995,12
69,9
44,12
131,16
109,17
154,15
159.44999999999996,12
128,15
207,13
177,8
206,13
33,12
80,13
158,24
69,13
162,22
30,20
173,19
184,16
310,18
98,12
74,12
124,10
90.39999999999998,8
104,15
103,10
101,16
151.49999999999994,11
230,20
46,15
335.89999999999975,14
37,7
228,15
243,16
137,15
83,11
180,12
104,12
185,21
166,18
44,12
118,16
53,9
105,15
149,16
75,13
175.5,13
144,12
62,14
112,17
216,19
56,9
117.5,12
302.3500000000001,9
141,17
88,24
103.24999999999997,12
144.5,12
59,24
166,18
71,14
211,26
105,23
155.79999999999998,13
117,14
98,11
79,13
130,15
56,10
110,24
165,12
79,11
104,22
87,12
101,15
87,11
192,19
157,27
178,12
111,27
121.5,11
115,12
88,15
81,10
95,11
245,16
60,7
96,14
164,16
66,9
239,26
405.1500000000004,9
80,25
470.5,12
101,10
83,9
154,18
187,23
400,22
190,18
150,21
191,18
335.7000000000002,9
72,11
226,13
104,12
183,18
108,19
104,22
217,22
66,22
132,20
91,12
23,11
141,10
130,15
134,16
152.75,11
175,23
110,14
40,7
131,9
77,9
111,11
74,21
129,14
376.59999999999985,15
550,17
105,10
238.99999999999994,15
45,8
101,11
164,16
119,12
40,10
120.20000000000002,11
91,12
215.79999999999993,12
112,18
157.39999999999995,11
164,19
97,22
88,11
89,24
443,27
114,15
195,14
52.75,13
148,17
132,14
135,26
122,12
65,9
206,15
80,9
172,21
106,14
100,12
129,21
99,11
111,15
183,20
92,14
110,12
96,11
42,10
35,23
110,10
77,12
152,11
27,8
196.39999999999992,14
119,13
140,15
91,11
173,25
70,12
103,12
118,12
42,7
127,13
99,10
150,16
162,21
189,11
134,24
138,12
152,22
194,24
96,12
186,21
193,14
457,24
140,15
68,11
172,15
56,10
123,27
254.95000000000007,13
115,23
154,27
119,18
88,16
222,11
127,18
185,15
89,11
70,12
101,13
63,11
41,14
53,10
154,14
200,12
135,13
93,9
52,9
227.7999999999998,12
82.75,13
51,21
165,21
178,21
126,18
173.39999999999992,10
77,13
329.09999999999985,9
425.7000000000004,10
266,18
231,23
132,20
88,16
91,26
180,17
63,24
186,14
88,16
312.6999999999998,11
117,19
99,9
133,14
250,26
195.5,16
166,14
164,13
99.5,12
278,11
126,21
98,15
150,12
128,15
129,18
94,15
180,18
87,9
219.79999999999995,12
112,12
88,11
77,9
74,14
137,17
106,19
228,24
172,18
341.54999999999995,11
100,22
85,13
154,23
189.84999999999994,10
111,16
286,13
122,28
99,11
130,13
109,14
130,12
103,9
82,10
382.9000000000002,14
96,14
128,13
131,12
248,27
131,17
121,14
131,18
55,10
127,12
370.9499999999998,14
112,10
115,15
208,20
66,17
131,16
239,24
72,12
98,12
399.05000000000024,11
202.10000000000005,16
65,10
173,23
55,12
121,14
213,22
75,12
214,21
152,21
151,17
79,11
49,12
133,17
248,12
79,12
294,19
258,25
228,15
114,12
179,21
66,18
92,14
31,7
131,16
160,23
107.59999999999997,12
51,8
74,24
58,12
174,17
291,17
50,13
89,13
145,16
80,9
158,22
115,25
160,16
47,23
151,20
55,10
208.0500000000001,10
61,13
86,12
108,12
145,13
123,26
80,10
151,15
250,21
68,11
183,16
153,19
44,21
184,18
90.8,13
128,14
210,22
157,16
129,19
138,15
43,6
111,16
114.60000000000001,11
97,13
74,10
108,17
124.19999999999996,14
78,11
180,20
72,12
157,11
36,9
147,10
124,10
161,19
67,8
216.19999999999993,10
44,10
146,20
95,22
319,12
61,9
160.34999999999997,11
129,23
91,9
128,23
449.9999999999998,11
189,22
120,20
74,13
129,17
179,20
74,22
296.59999999999997,15
312.6999999999998,11
168,20
119,22
153,12
15,9
161,21
143,20
155,13
156,25
219.75000000000003,12
183,23
54,11
108,15
131,21
101,9
238.60000000000008,16
167,14
252.9999999999999,14
186,17
95,12
231,25
53,9
115,11
560.4000000000004,11
165,16
154,15
158,14
121,11
137,18
50.4,9
598,19
110,10
62,12
82,13
172,25
339,18
196,25
126,17
163.50000000000003,17
272.69999999999993,13
77,12
188,16
130,18
200.25,11
137,12
83,9
105,21
43.1,10
103,13
254.7499999999999,17
66,10
132,18
152,18
72,14
62,13
97,10
116,15
105,17
84,21
126,13
213.40000000000006,14
91,18
147,14
147,20
73,14
70,14
127,18
20,10
172,11
209.3499999999999,19
112,14
61,22
112,11
56,13
148,16
195,10
215.4,14
59,13
101,17
57,12
257,18
244.64999999999995,11
57,11
85,12
61,10
102,14
92,16
149,17
115,23
197,21
199.09999999999988,11
116,12
85,12
123,16
81,8
248.94999999999996,15
120,17
76,10
99,12
127,14
247.60000000000014,14
174,18
82,11
156,20
243,25
92,9
171,21
272,18
86,14
74.90000000000002,9
432,13
111,11
73,12
121,16
368,17
91,20
85,12
75,9
126,17
349,13
159,17
151.5,11
70,9
154,13
103,14
178,14
46,11
89,16
116,13
114,18
71.75,12
185.99999999999991,13
133.5,13
120,25
156,25
63,10
143,11
140,16
62,12
126,12
56,9
60,27
216,11
88,12
172,24
119,11
197,18
183,22
295,10
169,10
45,7
120,18
131,17
89,9
212,17
224,10
122,13
263,19
134,14
146,18
151,19
87,24
109,13
188,24
102,12
78,23
577,16
52,11
167,17
79,14
116,17
61,9
79,9
79,12
99,10
157.25,12
58,9
219,16
50,10
92,8
106,12
190,20
187,24
84,26
135,25
116,24
181,20
111,18
182,15
43,9
122,19
218,15
155,22
190,19
104,13
49,14
129,21
253,14
161,17
174,17
104,14
